Id,MSSubClass,LotArea,LotConfig,OverallQual,LotFrontage,Neighborhood,OverallCond,BedroomAbvGr,TotRmsAbvGrd,TotalBsmtSF,YearBuilt,SalePrice
1,60,8450,Inside,7,65.0,CollgCr,5,3,8,856,2003,208.5
2,20,9600,FR2,6,80.0,Veenker,8,3,6,1262,1976,181.5
3,60,11250,Inside,7,68.0,CollgCr,5,3,6,920,2001,223.5
4,70,9550,Corner,7,60.0,Crawfor,5,3,7,756,1915,140.0
5,60,14260,FR2,8,84.0,NoRidge,5,4,9,1145,2000,250.0
6,50,14115,Inside,5,85.0,Mitchel,5,1,5,796,1993,143.0
7,20,10084,Inside,8,75.0,Somerst,5,3,7,1686,2004,307.0
8,60,10382,Corner,7,,NWAmes,6,3,7,1107,1973,200.0
9,50,6120,Inside,7,51.0,OldTown,5,2,8,952,1931,129.9
11,20,11200,Inside,5,70.0,Sawyer,5,3,5,1040,1965,129.5
12,60,11924,Inside,9,85.0,NridgHt,5,4,11,1175,2005,345.0
13,20,12968,Inside,5,,Sawyer,6,2,4,912,1962,144.0
14,20,10652,Inside,7,91.0,CollgCr,5,3,7,1494,2006,279.5
15,20,10920,Corner,6,,NAmes,5,2,5,1253,1960,157.0
16,45,6120,Corner,7,51.0,BrkSide,8,2,5,832,1929,132.0
17,20,11241,CulDSac,6,,NAmes,7,2,5,1004,1970,149.0
18,90,10791,Inside,4,72.0,Sawyer,5,2,6,0,1967,90.0
19,20,13695,Inside,5,66.0,SawyerW,5,3,6,1114,2004,159.0
20,20,7560,Inside,5,70.0,NAmes,6,3,6,1029,1958,139.0
21,60,14215,Corner,8,101.0,NridgHt,5,4,9,1158,2005,325.3
22,45,7449,Inside,7,57.0,IDOTRR,7,3,6,637,1930,139.4
23,20,9742,Inside,8,75.0,CollgCr,5,3,7,1777,2002,230.0
24,120,4224,Inside,5,44.0,MeadowV,7,3,6,1040,1976,129.9
25,20,8246,Inside,5,,Sawyer,8,3,6,1060,1968,154.0
26,20,14230,Corner,8,110.0,NridgHt,5,3,7,1566,2007,256.3
27,20,7200,Corner,5,60.0,NAmes,7,3,5,900,1951,134.8
28,20,11478,Inside,8,98.0,NridgHt,5,3,7,1704,2007,306.0
29,20,16321,CulDSac,5,47.0,NAmes,6,2,6,1484,1957,207.5
30,30,6324,Inside,4,60.0,BrkSide,6,1,4,520,1927,68.5
31,70,8500,Inside,4,50.0,IDOTRR,4,3,6,649,1920,40.0
32,20,8544,CulDSac,5,,Sawyer,6,3,6,1228,1966,149.35
33,20,11049,Corner,8,85.0,CollgCr,5,3,7,1234,2007,179.9
34,20,10552,Inside,5,70.0,NAmes,5,4,6,1398,1959,165.5
35,120,7313,Inside,9,60.0,NridgHt,5,2,6,1561,2005,277.5
36,60,13418,Inside,8,108.0,NridgHt,5,4,9,1117,2004,309.0
37,20,10859,Corner,5,112.0,CollgCr,5,3,6,1097,1994,145.0
38,20,8532,Inside,5,74.0,NAmes,6,3,5,1297,1954,153.0
39,20,7922,Inside,5,68.0,NAmes,7,3,5,1057,1953,109.0
40,90,6040,Inside,4,65.0,Edwards,5,2,6,0,1955,82.0
41,20,8658,Inside,6,84.0,NAmes,5,3,6,1088,1965,160.0
42,20,16905,Inside,5,115.0,Timber,6,2,5,1350,1959,170.0
43,85,9180,CulDSac,5,,SawyerW,7,2,5,840,1983,144.0
44,20,9200,CulDSac,5,,CollgCr,6,3,5,938,1975,130.25
45,20,7945,Inside,5,70.0,NAmes,6,3,6,1150,1959,141.0
46,120,7658,Inside,9,61.0,NridgHt,5,2,6,1752,2005,319.9
